시설명,카테고리1,카테고리2,카테고리3,시도 명칭,시군구 명칭,법정읍면동명칭,번지,도로명 이름,건물 번호,위도,경도,우편번호,도로명주소,지번주소,전화번호,홈페이지,휴무일,운영시간,주차 가능여부,반려동물 동반 가능정보,입장 가능 동물 크기,반려동물 제한사항,장소(실내) 여부,장소(실외)여부,기본 정보_장소설명,애견 동반 추가 요금,입장(이용료)가격 정보,반려동물 전용 정보,최종작성일,리 명칭
쿠키동물병원,반려동물업,반려의료,동물병원,서울특별시,강북구,미아동,812 번지,삼양로27길,19 번,37.61612,127.0217,1195,서울특별시 강북구 삼양로27길 19,서울 강북구 미아동 812,02-986-9875,정보없음,연중무휴,"월~토 09:30~18:30, 일 11:00~16:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
쿨독동물병원,반려동물업,반려의료,동물병원,서울특별시,송파구,가락동,87-1 번지,중대로9길,48 번,37.49707,127.1192,5712,서울특별시 송파구 중대로9길 48,서울 송파구 가락동 87-1,02-408-5400,정보없음,매주 일요일,"월~금 09:30~19:30, 토 09:30~18:30",N,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
쿨펫,반려동물업,반려의료,동물병원,서울특별시,강남구,삼성동,35-3 번지,선릉로,620 번,37.51208,127.0435,6097,서울특별시 강남구 선릉로 620,서울 강남구 삼성동 35-3,02-3446-7593,http://www.coolpet.co/default/,정보없음,정보없음,N,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
쿨펫동물병원,반려동물업,반려의료,동물병원,서울특별시,광진구,자양동,227-7 번지,아차산로,272 번,37.53856,127.073,5065,서울특별시 광진구 아차산로 272,서울 광진구 자양동 227-7,02-2024-1253,정보없음,매주 일요일,월~토 10:00~22:00,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
쿨펫동물병원,반려동물업,반려의료,동물병원,서울특별시,금천구,독산동,295-10 번지,두산로,71 번,37.47062,126.8957,8524,서울특별시 금천구 두산로 71,서울 금천구 독산동 295-10,02-861-2000,정보없음,매주 일요일,월~토 11:00~20:00,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
쿨펫이마트 목동점 동물병원,반려동물업,반려의료,동물병원,서울특별시,양천구,목동,962 번지,오목로,299 번,37.52608,126.8704,8001,서울특별시 양천구 오목로 299,서울 양천구 목동 962,02-2645-2727,정보없음,연중무휴,매일 10:00~21:00,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
큐동물병원,반려동물업,반려의료,동물병원,서울특별시,성북구,장위동,225-61 번지,장위로,81 번,37.61399,127.0457,2756,서울특별시 성북구 장위로 81,서울 성북구 장위동 225-61,02-913-8275,정보없음,매주 일요일,"월~금 10:00~19:30, 토 10:00~16:30",N,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
키다리 동물병원,반려동물업,반려의료,동물병원,서울특별시,마포구,성산동,151-6 번지,월드컵북로,218 번,37.5695,126.905,3941,서울특별시 마포구 월드컵북로 218,서울 마포구 성산동 151-6,02-376-7675,https://blog.naver.com/keydaddy,연중무휴,"월~금 10:00~20:00, 토, 법정공휴일 10:00~16:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
키다리동물병원,반려동물업,반려의료,동물병원,서울특별시,송파구,문정동,620 번지,새말로,62 번,37.48079,127.1208,5841,서울특별시 송파구 새말로 62,서울 송파구 문정동 620,02-6401-1512,https://blog.naver.com/scarface928,매주 일요일,"월~금 10:00~20:00, 토 10:00~18:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
키움 동물병원,반려동물업,반려의료,동물병원,서울특별시,노원구,공릉동,90-1 번지,노원로1길,9 번,37.62222,127.0864,1827,서울특별시 노원구 노원로1길 9,서울 노원구 공릉동 90-1,02-949-7582,정보없음,매주 일요일,"월~금 10:00~19:00, 토 10:00~18:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
킴리동물병원,반려동물업,반려의료,동물병원,서울특별시,송파구,신천동,11 번지,올림픽로35길,94 번,37.51852,127.104,5504,서울특별시 송파구 올림픽로35길 94,서울 송파구 신천동 11,02-6925-5475,정보없음,연중무휴,매일 10:00~19:00,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
태능동물병원,반려동물업,반려의료,동물병원,서울특별시,중랑구,묵동,175-2 번지,동일로,920 번,37.6126,127.0776,2033,서울특별시 중랑구 동일로 920,서울 중랑구 묵동 175-2,02-973-1953,https://catts.modoo.at/,매주 일요일,"월~금 09:40~18:30, 토 09:40~16:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
태양 동물병원,반려동물업,반려의료,동물병원,서울특별시,성북구,석관동,332-23 번지,돌곶이로,31 번,37.60703,127.0607,2788,서울특별시 성북구 돌곶이로 31,서울 성북구 석관동 332-23,02-969-0075,정보없음,정보없음,정보없음,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
태일동물종합병원,반려동물업,반려의료,동물병원,서울특별시,도봉구,쌍문동,45-8 번지,해등로,184 번,37.65793,127.0364,1394,서울특별시 도봉구 해등로 184,서울 도봉구 쌍문동 45-8,02-997-0075,http://www.animaldentistry.co.kr/xe/,연중무휴,"월~토, 법정공휴일 09:00~18:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
텐즈힐링동물병원,반려동물업,반려의료,동물병원,서울특별시,성동구,상왕십리동,811 번지,마장로,137 번,37.56783,127.0251,4700,서울특별시 성동구 마장로 137,서울 성동구 상왕십리동 811,02-2295-0975,정보없음,연중무휴,"월~금 11:00~20:00, 토, 법정공휴일 11:00~17:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
토론토 동물병원,반려동물업,반려의료,동물병원,서울특별시,양천구,목동,657-21 번지,등촌로,172 번,37.54513,126.8626,7951,서울특별시 양천구 등촌로 172,서울 양천구 목동 657-21,02-2642-8653,정보없음,매주 일요일,"월~금 09:00~21:00, 토 09:00~20:00",N,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
트윈스동물병원,반려동물업,반려의료,동물병원,서울특별시,도봉구,창동,650-11 번지,도봉로110다길,20 번,37.64536,127.0337,1459,서울특별시 도봉구 도봉로110다길 20,서울 도봉구 창동 650-11,02-906-7575,정보없음,매주 일요일,"월~금 10:00~19:30, 토 10:00~17:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
튼튼동물병원(서울 강남),반려동물업,반려의료,동물병원,서울특별시,강남구,압구정동,426 번지,압구정로,151 번,37.52679,127.0245,6001,서울특별시 강남구 압구정로 151,서울 강남구 압구정동 426,02-549-9773,https://blog.naver.com/vetmsh,연중무휴,매일 10:00~18:00,Y,Y,모두 가능,제한사항 없음,Y,Y,"일반동물병원, 월, 일 예약진료만 가능",없음,,,,
파라곤동물병원,반려동물업,반려의료,동물병원,서울특별시,광진구,군자동,358-9 번지,광나루로,361 번,37.54845,127.0697,5003,서울특별시 광진구 광나루로 361,서울 광진구 군자동 358-9,02-498-7588,https://blog.naver.com/dvmseo,"매주 토, 일",월~금 11:00~16:00,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
파란종합 동물병원,반려동물업,반려의료,동물병원,서울특별시,양천구,신월동,546-25 번지,신월로,149 번,37.51755,126.8403,8032,서울특별시 양천구 신월로 149,서울 양천구 신월동 546-25,02-2692-8255,정보없음,매주 일요일,"월~금 10:00~20:00, 토 10:00~19:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
파랑새동물병원,반려동물업,반려의료,동물병원,서울특별시,금천구,독산동,1077-31 번지,시흥대로,276 번,37.45831,126.8996,8623,서울특별시 금천구 시흥대로 276,서울 금천구 독산동 1077-31,02-805-2825,http://blog.naver.com/dvmksy,매주 일요일,월~토 09:30~18:30,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
파리스동물병원,반려동물업,반려의료,동물병원,서울특별시,양천구,목동,903 번지,목동서로,100 번,37.53422,126.8742,7982,서울특별시 양천구 목동서로 100,서울 양천구 목동 903,02-2644-8878,https://blog.naver.com/animalhospital,연중무휴,"월~금 10:00~19:00, 토~일 10:00~17:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
파스텔동물병원,반려동물업,반려의료,동물병원,서울특별시,강서구,화곡동,1070-1 번지,화곡로,112 번,37.53978,126.8345,7718,서울특별시 강서구 화곡로 112,서울 강서구 화곡동 1070-1,02-2693-0075,https://blog.naver.com/pastelclinic,매주 일요일,"월~금 10:10~18:00, 토 10:10~14:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
파파동물병원,반려동물업,반려의료,동물병원,서울특별시,서초구,잠원동,72-2 번지,신반포로23길,30 번,37.50879,127.0035,6510,서울특별시 서초구 신반포로23길 30,서울 서초구 잠원동 72-2,02-2039-9780,https://www.instagram.com/papa_vet/,매주 일요일,"월~금 10:00~19:00, 토 10:00~14:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
팜랜드동물병원,반려동물업,반려의료,동물병원,서울특별시,양천구,목동,799-1 번지,목동중앙서로,42 번,37.53288,126.8685,7967,서울특별시 양천구 목동중앙서로 42,서울 양천구 목동 799-1,02-6348-1982,정보없음,정보없음,정보없음,N,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
퍼스동물병원,반려동물업,반려의료,동물병원,서울특별시,용산구,용산2가동,45-1 번지,신흥로,54 번,37.54311,126.9878,4339,서울특별시 용산구 신흥로 54,서울 용산구 용산동2가 45-1,02-790-7508,정보없음,매주 일요일,월~토 10:00~20:00,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
퍼스트동물병원,반려동물업,반려의료,동물병원,서울특별시,성북구,장위동,320 번지,한천로,713 번,37.6213,127.0518,2760,서울특별시 성북구 한천로 713,서울 성북구 장위동 320,02-9117-7582,https://www.instagram.com/firstanimalhospital_grooming/,연중무휴,"월~금 10:00~20:00, 토, 법정공휴일 10:00~16:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
퍼피즌동물병원,반려동물업,반려의료,동물병원,서울특별시,강남구,삼성동,34-3 번지,선릉로,636 번,37.51326,127.043,6093,서울특별시 강남구 선릉로 636,서울 강남구 삼성동 34-3,02-541-2651,정보없음,연중무휴,"월~토 09:30~20:00, 일, 법정공휴일 09:30~18:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
페트로동물의료원,반려동물업,반려의료,동물병원,서울특별시,동대문구,장안동,374-3 번지,장한로,77 번,37.56785,127.0685,2625,서울특별시 동대문구 장한로 77,서울 동대문구 장안동 374-3,02-2249-0075,https://blog.naver.com/petropolis,연중무휴,"월~금 10:00~20:30, 토~일 10:00~19:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
펫365동물병원,반려동물업,반려의료,동물병원,서울특별시,성동구,금호4가동,131 번지,독서당로,328 번,37.5479,127.0253,4737,서울특별시 성동구 독서당로 328,서울 성동구 금호동4가 131,02-2282-3653,https://blog.naver.com/pet365ah,연중무휴,"월~화, 목~토 09:30~20:00, 수,일, 법정공휴일 09:30~18:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
펫가든,반려동물업,반려의료,동물병원,서울특별시,노원구,중계동,361 번지,노원로,330 번,37.64679,127.0709,1746,서울특별시 노원구 노원로 330,서울 노원구 중계동 361,02-951-7707,정보없음,정보없음,정보없음,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
펫가든동물병원,반려동물업,반려의료,동물병원,서울특별시,송파구,문정동,150-2 번지,중대로,80 번,37.49176,127.1178,5833,서울특별시 송파구 중대로 80,서울 송파구 문정동 150-2,02-400-0075,정보없음,정보없음,정보없음,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
펫동물병원,반려동물업,반려의료,동물병원,서울특별시,용산구,효창동,79-1 번지,백범로,285 번,37.53959,126.9611,4318,서울특별시 용산구 백범로 285,서울 용산구 효창동 79-1,02-3275-0079,http://blog.daum.net/pet-clinic/,매주 일요일,"월~금 10:00~19:00, 토 10:00~18:00",N,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
펫토이동물병원,반려동물업,반려의료,동물병원,서울특별시,용산구,한남동,653-26 번지,대사관로,32 번,37.53352,127.0017,4403,서울특별시 용산구 대사관로 32,서울 용산구 한남동 653-26,02-795-2184,정보없음,매주 일요일,월~토 10:00~20:00,N,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
펫토피아동물병원,반려동물업,반려의료,동물병원,서울특별시,송파구,방이동,124-8 번지,오금로,203 번,37.50814,127.1166,5643,서울특별시 송파구 오금로 203,서울 송파구 방이동 124-8,02-414-0075,http://petopi.co.kr/,연중무휴,매일 09:30~22:00,Y,Y,모두 가능,제한사항 없음,Y,Y,"일반동물병원, 야간(응급) 22:00~09:30",없음,,,,
펫트너건강검진센터,반려동물업,반려의료,동물병원,서울특별시,강남구,역삼동,725-29 번지,테헤란로34길,26 번,37.49989,127.0405,6223,서울특별시 강남구 테헤란로34길 26,서울 강남구 역삼동 725-29,02-562-7959,https://petnercare.com/,매주 일요일,월~토 10:00~19:00,N,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
펫트리동물의료센터,반려동물업,반려의료,동물병원,서울특별시,강동구,길동,413-46 번지,양재대로,1453 번,37.53571,127.1389,5353,서울특별시 강동구 양재대로 1453,서울 강동구 길동 413-46,02-6949-5775,https://blog.naver.com/petreeah,연중무휴,"월~금 10:00~22:00, 토 10:00~22:00, 일 10:00~18:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
평생피부과동물병원,반려동물업,반려의료,동물병원,서울특별시,성동구,행당동,346 번지,행당로,76 번,37.55625,127.0275,4717,서울특별시 성동구 행당로 76,서울 성동구 행당동 346,02-3395-0075,http://www.peaceanimal.co.kr/,연중무휴,"월~금 09:30~19:00, 토, 법정공휴일 09:30~18:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
포레동물병원,반려동물업,반려의료,동물병원,서울특별시,성동구,성수1가1동,22-28 번지,성수일로,33 번,37.54364,127.0492,4779,서울특별시 성동구 성수일로 33,서울 성동구 성수동1가 22-28,02-468-7975,정보없음,매주 일요일,"월~금 10:00~19:00, 토 10:00~14:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
포유동물병원,반려동물업,반려의료,동물병원,서울특별시,성북구,하월곡동,62-4 번지,오패산로,22 번,37.60422,127.0377,2751,서울특별시 성북구 오패산로 22,서울 성북구 하월곡동 62-4,02-912-6555,정보없음,매주 일요일,"월~금 10:00~19:00, 토 10:00~16:00",N,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
폴라동물병원,반려동물업,반려의료,동물병원,서울특별시,종로구,숭인동,20-138 번지,낙산길,311 번,37.58054,127.0172,3107,서울특별시 종로구 낙산길 311,서울 종로구 숭인동 20-138,,정보없음,정보없음,정보없음,N,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
푸른동물병원,반려동물업,반려의료,동물병원,서울특별시,구로구,구로동,722-4 번지,구로동로,111-1 번,37.48858,126.8843,8316,서울특별시 구로구 구로동로 111-1,서울 구로구 구로동 722-4,02-861-0075,정보없음,매주 일요일,"월~금 10:00~20:00, 토 10:00~18:00",N,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
푸른들동물병원,반려동물업,반려의료,동물병원,서울특별시,강서구,염창동,246-11 번지,양천로,663-1 번,37.5522,126.8708,7543,서울특별시 강서구 양천로 663-1,서울 강서구 염창동 246-11,02-2699-1222,https://blog.naver.com/prndle,매주 일요일,"월~금 10:00~19:00, 토 10:00~18:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
푸른숲 동물병원,반려동물업,반려의료,동물병원,서울특별시,마포구,서교동,5-2 번지,월드컵로,98 번,37.55741,126.9093,3996,서울특별시 마포구 월드컵로 98,서울 마포구 서교동 5-2,02-335-7577,https://blog.naver.com/pureunsoopah,매주 일요일,"월~금 10:00~19:30, 토 10:00~17:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
푸른종합동물병원,반려동물업,반려의료,동물병원,서울특별시,동대문구,청량리동,359 번지,홍릉로,48-1 번,37.58459,127.0441,2484,서울특별시 동대문구 홍릉로 48-1,서울 동대문구 청량리동 359,02-962-3344,정보없음,연중무휴,"월~금 09:00~21:00, 토~일 09:00~20:00",N,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
품 동물의료센터,반려동물업,반려의료,동물병원,서울특별시,동작구,상도1동,623 번지,양녕로,277-1 번,37.50439,126.9494,6919,서울특별시 동작구 양녕로 277-1,서울 동작구 상도1동 623,02-812-7585,http://www.poomamc.com/,연중무휴,"월~토 09:00~22:00, 일 10:00~20:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
퓨리나동물병원,반려동물업,반려의료,동물병원,서울특별시,도봉구,쌍문동,96-25 번지,도봉로,469 번,37.64762,127.0337,1447,서울특별시 도봉구 도봉로 469,서울 도봉구 쌍문동 96-25,02-900-9929,https://blog.naver.com/purinaclinic,연중무휴,매일 10:00~20:00,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
프라임동물병원,반려동물업,반려의료,동물병원,서울특별시,광진구,구의동,659 번지,아차산로,451 번,37.53923,127.0922,5046,서울특별시 광진구 아차산로 451,서울 광진구 구의동 659,02-457-0292,정보없음,매주 일요일,"월~금 10:00~19:00, 토 09:00~14:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
프란다스동물병원,반려동물업,반려의료,동물병원,서울특별시,서대문구,남가좌동,381 번지,거북골로,120 번,37.57548,126.9161,3690,서울특별시 서대문구 거북골로 120,서울 서대문구 남가좌동 381,02-309-8275,정보없음,"매주 토, 일",월~금 09:30~20:00,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
프렌즈동물병원,반려동물업,반려의료,동물병원,서울특별시,서초구,방배동,984-1 번지,방배로,76 번,37.48116,126.9983,6704,서울특별시 서초구 방배로 76,서울 서초구 방배동 984-1,02-597-7522,정보없음,"매주 토, 일",월~금 09:30~20:00,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
프렌즈동물병원,반려동물업,반려의료,동물병원,서울특별시,관악구,봉천동,34-51 번지,관악로,223 번,37.48483,126.9552,8744,서울특별시 관악구 관악로 223,서울 관악구 봉천동 34-51,02-874-7585,정보없음,매주 일요일,"월~금 10:00~20:00, 토 10:00~18:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
플러스동물메디컬센터,반려동물업,반려의료,동물병원,서울특별시,영등포구,양평2동,281 번지,양평로12가길,14 번,37.53675,126.8996,7222,서울특별시 영등포구 양평로12가길 14,서울 영등포구 양평동4가 281,02-3662-3533,https://blog.naver.com/dogplus3533,연중무휴,"월~수, 금~토~일 10:00~20:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
피닉스동물병원,반려동물업,반려의료,동물병원,서울특별시,동작구,대방동,395-4 번지,상도로,43 번,37.5,126.9255,6954,서울특별시 동작구 상도로 43,서울 동작구 대방동 395-4,02-813-7579,정보없음,연중무휴,"월~금 09:30~20:00, 토, 법정공휴일 09:30~17:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
피움동물병원,반려동물업,반려의료,동물병원,서울특별시,은평구,진관동,67-1 번지,진관3로,37 번,37.64039,126.9204,3301,서울특별시 은평구 진관3로 37,서울 은평구 진관동 67-1,02-384-3100,정보없음,연중무휴,"월~금 09:00~21:00, 토~일, 법정공휴일 10:00~18:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
피카소동물병원,반려동물업,반려의료,동물병원,서울특별시,광진구,화양동,216 번지,광나루로,392-1 번,37.5473,127.0733,5009,서울특별시 광진구 광나루로 392-1,서울 광진구 화양동 216,02-467-3673,https://blog.naver.com/picaso467,연중무휴,"월~토 10:00~19:00, 일 10:00~17:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
피카소동물병원,반려동물업,반려의료,동물병원,서울특별시,강동구,명일동,289-15 번지,구천면로,431 번,37.55026,127.1467,5267,서울특별시 강동구 구천면로 431,서울 강동구 명일동 289-15,02-3427-6419,https://blog.naver.com/picaso467,연중무휴,"월~토 10:00~19:00, 일 10:00~17:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
필동물종합병원,반려동물업,반려의료,동물병원,서울특별시,양천구,목동,805-1 번지,등촌로,16 번,37.53139,126.8641,7966,서울특별시 양천구 등촌로 16,서울 양천구 목동 805-1,02-2649-0774,정보없음,연중무휴,"월~금 09:30~20:00, 토, 법정공휴일 09:30~19:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
하나동물병원,반려동물업,반려의료,동물병원,서울특별시,동대문구,휘경동,267-84 번지,망우로,66 번,37.5895,127.061,2496,서울특별시 동대문구 망우로 66,서울 동대문구 휘경동 267-84,02-6242-7500,정보없음,매주 일요일,"월~금 09:00~19:00, 토 09:00~16:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
하나동물병원,반려동물업,반려의료,동물병원,서울특별시,서초구,신원동,557 번지,헌릉로8길,10-12 번,37.45595,127.0581,6798,서울특별시 서초구 신원동 557,서울 서초구 헌릉로8길 10-12,02-574-0511,https://blog.naver.com/hanaah80,매주 일요일,"월~금 10:30~19:30, 토 10:30~14:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
하나동물병원,반려동물업,반려의료,동물병원,서울특별시,강서구,방화동,811-10 번지,금낭화로,109 번,37.5753,126.8115,7515,서울특별시 강서구 금낭화로 109,서울 강서구 방화동 811-10,02-2666-6075,정보없음,연중무휴,매일 00:00~24:00,N,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
하나사랑동물병원,반려동물업,반려의료,동물병원,서울특별시,동작구,상도동,366-38 번지,상도로,171 번,37.50446,126.9379,6937,서울특별시 동작구 상도로 171,서울 동작구 상도동 366-38,02-822-7574,정보없음,연중무휴,매일 09:30~22:00,N,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
하나카동물병원,반려동물업,반려의료,동물병원,서울특별시,강남구,역삼동,834-45 번지,역삼로,138 번,37.49427,127.0347,6250,서울특별시 강남구 역삼로 138,서울 강남구 역삼동 834-45,02-566-5852,https://blog.naver.com/vethanaka,연중무휴,"월~금 10:00~20:00, 토, 법정공휴일 10:00~19:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
하니동물병원,반려동물업,반려의료,동물병원,서울특별시,중랑구,신내동,648 번지,신내로,225 번,37.61697,127.0914,2024,서울특별시 중랑구 신내로 225,서울 중랑구 신내동 648,02-3422-0977,정보없음,정보없음,정보없음,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
하니동물병원,반려동물업,반려의료,동물병원,서울특별시,양천구,목동,783-2 번지,등촌로,58 번,37.53513,126.8638,7965,서울특별시 양천구 등촌로 58,서울 양천구 목동 783-2,02-2647-1772,http://www.dogdr.co.kr/,연중무휴,매일 09:30~22:00,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
하비동물병원,반려동물업,반려의료,동물병원,서울특별시,도봉구,창동,75-4 번지,노해로65길,14 번,37.65203,127.0465,1405,서울특별시 도봉구 노해로65길 14,서울 도봉구 창동 75-4,02-2038-9980,https://blog.naver.com/habianimal,연중무휴,"월~금 09:00~21:00, 토~일, 법정공휴일 09:00~18:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
하스펫탈동물병원,반려동물업,반려의료,동물병원,서울특별시,중랑구,면목동,225-7 번지,면목로,442-1 번,37.59159,127.087,2160,서울특별시 중랑구 면목로 442-1,서울 중랑구 면목동 225-7,02-435-2275,정보없음,연중무휴,매일 10:00~21:00,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
하이유 동물병원,반려동물업,반려의료,동물병원,서울특별시,동대문구,답십리동,490-57 번지,전농로,15-3 번,37.56665,127.0559,2605,서울특별시 동대문구 전농로 15-3,서울 동대문구 답십리동 490-57,02-2242-7510,정보없음,연중무휴,"월~금 10:00~20:00, 토, 법정공휴일 10:00~18:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
하트동물메디컬센터,반려동물업,반려의료,동물병원,서울특별시,송파구,삼전동,132-12 번지,삼학사로,75 번,37.50394,127.0968,5603,서울특별시 송파구 삼학사로 75,서울 송파구 삼전동 132-12,02-2039-0082,http://heartanimal.business.site/,매주 일요일,월~토 10:00~18:00,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
하트온동물병원,반려동물업,반려의료,동물병원,서울특별시,강서구,화곡동,796-1 번지,곰달래로,260 번,37.53203,126.8618,7785,서울특별시 강서구 곰달래로 260,서울 강서구 화곡동 796-1,02-2644-5975,http://www.instagram.com/hearton_animalhospital,매주 일요일,"월~금 11:00~20:00, 토 11:00~15:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
한 동물병원,반려동물업,반려의료,동물병원,서울특별시,서초구,양재동,377-4 번지,동산로,66 번,37.47189,127.046,6784,서울특별시 서초구 동산로 66,서울 서초구 양재동 377-4,02-577-3690,https://blog.naver.com/hanspet3690,연중무휴,"월~금 09:30~19:30, 토 09:30~17:30, 법정공휴일 10:00~17:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
한가람동물의료센터,반려동물업,반려의료,동물병원,서울특별시,영등포구,신길동,100-12 번지,도신로,252 번,37.51343,126.9185,7352,서울특별시 영등포구 도신로 252,서울 영등포구 신길동 100-12,02-844-7775,http://www.hangaramanimal.com/2016/index.php,연중무휴,매일 09:30~21:30,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
한강동물병원,반려동물업,반려의료,동물병원,서울특별시,노원구,상계동,430-13 번지,노원로34길,76 번,37.66241,127.0661,1679,서울특별시 노원구 노원로34길 76,서울 노원구 상계동 430-13,02-935-7588,정보없음,정보없음,정보없음,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
한국동물메디컬센터 KAMC,반려동물업,반려의료,동물병원,서울특별시,중랑구,면목동,119-8 번지,겸재로,165-1 번,37.58819,127.086,2145,서울특별시 중랑구 겸재로 165-1,서울 중랑구 면목동 119-8,02-2208-6788,정보없음,"매주 일,월","화~목,토 10:00~19:00",N,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
한국동물암센터,반려동물업,반려의료,동물병원,서울특별시,노원구,상계동,318-2 번지,노원로,408 번,37.65313,127.0681,1704,서울특별시 노원구 노원로 408,서울 노원구 상계동 318-2,02-932-0075,https://www.namc.co.kr/,정보없음,정보없음,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
